gesture_id,label,start_time,end_time,ax,ay,az,gx,gy,gz
50,IDLE,1768044810.9637494,1768044812.046754,-14760,5568,-720,-834,-132,-740
50,IDLE,1768044810.9637494,1768044812.046754,-14908,5708,-676,-956,-107,-746
51,IDLE,1768044812.0646162,1768044813.1604187,-14952,5768,-712,-1177,-15,-884
51,IDLE,1768044812.0646162,1768044813.1604187,-14976,5960,-584,-1641,61,-1016
51,IDLE,1768044812.0646162,1768044813.1604187,-15096,5848,-528,-1893,293,-1037
51,IDLE,1768044812.0646162,1768044813.1604187,-15100,5800,-420,-1629,401,-697
51,IDLE,1768044812.0646162,1768044813.1604187,-15096,5780,-240,-1266,329,-328
51,IDLE,1768044812.0646162,1768044813.1604187,-14948,5624,-160,-1065,284,-129
51,IDLE,1768044812.0646162,1768044813.1604187,-14848,5624,-152,-899,369,-75
51,IDLE,1768044812.0646162,1768044813.1604187,-14872,5676,-200,-771,362,-75
51,IDLE,1768044812.0646162,1768044813.1604187,-14820,5660,-228,-695,426,-31
51,IDLE,1768044812.0646162,1768044813.1604187,-14968,5784,-332,-622,576,53
51,IDLE,1768044812.0646162,1768044813.1604187,-15060,5944,-248,-607,795,155
51,IDLE,1768044812.0646162,1768044813.1604187,-15200,5732,-108,-303,1029,372
51,IDLE,1768044812.0646162,1768044813.1604187,-15156,5344,468,838,1041,967
51,IDLE,1768044812.0646162,1768044813.1604187,-15176,5268,780,2604,579,1739
51,IDLE,1768044812.0646162,1768044813.1604187,-15152,5540,704,3720,-355,2335
51,IDLE,1768044812.0646162,1768044813.1604187,-15176,6064,244,3768,-918,2325
51,IDLE,1768044812.0646162,1768044813.1604187,-14960,6492,-152,2328,-864,1450
51,IDLE,1768044812.0646162,1768044813.1604187,-14796,6780,-652,30,-634,429
51,IDLE,1768044812.0646162,1768044813.1604187,-14756,6536,-600,-1713,-6,-244
51,IDLE,1768044812.0646162,1768044813.1604187,-14844,6380,-600,-2342,662,-331
51,IDLE,1768044812.0646162,1768044813.1604187,-14852,6184,-456,-2722,787,-319
51,IDLE,1768044812.0646162,1768044813.1604187,-14740,6048,-520,-3341,798,-464
51,IDLE,1768044812.0646162,1768044813.1604187,-14704,5784,-336,-4122,668,-697
51,IDLE,1768044812.0646162,1768044813.1604187,-14632,5688,-372,-4705,390,-1010
51,IDLE,1768044812.0646162,1768044813.1604187,-14452,5572,-480,-5000,516,-1198
51,IDLE,1768044812.0646162,1768044813.1604187,-14560,5336,-272,-4807,857,-1239
51,IDLE,1768044812.0646162,1768044813.1604187,-14540,5216,-96,-3863,948,-871
51,IDLE,1768044812.0646162,1768044813.1604187,-14652,5320,60,-2815,941,-511
51,IDLE,1768044812.0646162,1768044813.1604187,-14660,5604,-36,-2122,934,-223
51,IDLE,1768044812.0646162,1768044813.1604187,-14636,5848,84,-1665,1095,-136
51,IDLE,1768044812.0646162,1768044813.1604187,-14712,5948,156,-1426,1214,-129
51,IDLE,1768044812.0646162,1768044813.1604187,-14780,6160,164,-1296,1385,-127
51,IDLE,1768044812.0646162,1768044813.1604187,-15000,6372,44,-1999,1364,-289
