label,thumb_mean,thumb_std,index_mean,index_std,middle_mean,middle_std,ring_mean,ring_std,pinky_mean,pinky_std,accX_mean,accX_std,accY_mean,accY_std,accZ_mean,accZ_std,gyroX_mean,gyroX_std,gyroY_mean,gyroY_std,gyroZ_mean,gyroZ_std
WE,1186.75,0.99,136.9,2.41,915.45,1.53,134.55,1.12,0.0,0.0,16355.2,74.73,1069.4,177.94,3284.6,209.9,-212.5,161.89,278.2,278.52,58.5,230.61
WE,1185.9,4.23,135.7,4.12,915.35,1.19,128.8,1.25,0.0,0.0,16322.4,194.23,1101.6,253.59,3276.2,414.42,-314.15,322.72,103.2,617.17,-2.95,249.16
WE,1186.25,1.09,124.15,41.6,915.35,2.01,117.7,3.38,0.0,0.0,16433.6,231.65,1077.6,458.5,2820.0,474.13,-303.25,495.34,153.95,693.13,204.55,379.47
WE,1185.85,2.83,30.15,52.33,914.7,1.58,137.4,4.58,0.0,0.0,16507.8,209.69,1014.0,231.61,2181.2,515.82,-689.6,649.51,-218.95,591.62,-115.0,232.1
WE,1186.4,2.33,19.65,46.78,915.05,2.38,147.75,2.57,0.0,0.0,16511.0,186.29,1193.8,309.1,2161.0,349.32,-310.35,590.29,386.25,659.18,14.2,315.45
WE,1185.75,4.31,0.0,0.0,915.2,1.44,144.4,0.58,0.0,0.0,16535.8,102.83,1119.2,127.83,2193.8,203.99,-292.3,170.23,192.55,126.86,98.6,82.89
WE,1186.2,1.29,0.0,0.0,914.8,1.72,139.6,6.26,0.55,2.4,16503.4,66.05,1038.8,105.52,2174.2,103.95,-299.45,99.79,234.25,126.4,32.5,79.33
WE,1186.75,1.3,0.0,0.0,914.2,1.17,138.95,1.16,0.0,0.0,16529.0,60.54,1110.0,133.41,2122.8,93.77,-317.35,138.72,256.7,150.5,58.9,53.54
WE,1186.75,2.68,0.0,0.0,914.5,1.07,138.4,2.46,0.0,0.0,16550.8,131.58,1056.4,170.42,2146.4,241.53,-244.8,222.69,272.35,325.13,14.45,115.67
WE,1186.6,1.36,0.0,0.0,914.9,1.37,125.15,8.43,0.0,0.0,16546.8,189.81,1155.8,309.72,1740.8,309.77,-635.95,620.42,-66.5,663.02,82.25,241.92
WE,1186.45,2.4,0.0,0.0,914.2,1.17,36.7,39.79,0.0,0.0,16632.6,443.95,1232.6,611.64,946.4,507.06,-104.85,992.69,-110.45,698.16,-130.25,617.46
WE,1187.05,1.94,0.0,0.0,913.85,1.35,0.0,0.0,0.0,0.0,16574.0,348.12,1220.2,453.11,1213.6,916.65,-211.65,788.23,699.55,762.61,366.3,657.66
WE,1185.05,2.33,0.0,0.0,914.05,1.07,0.0,0.0,0.0,0.0,16564.0,827.74,1003.6,1164.76,2393.6,709.42,-352.4,997.61,579.7,1266.7,-159.1,1512.33
WE,1184.9,1.26,0.0,0.0,914.35,1.59,0.0,0.0,0.0,0.0,16437.2,301.97,1069.6,214.59,2713.0,172.64,-230.35,345.8,229.95,223.87,52.2,269.06
WE,1185.45,1.02,0.0,0.0,913.35,0.91,0.0,0.0,0.0,0.0,16460.8,323.21,1379.0,770.61,2560.2,581.77,-476.25,527.94,357.85,573.32,103.55,897.71
WE,1185.3,1.95,0.0,0.0,912.9,6.92,0.0,0.0,0.0,0.0,16244.4,342.93,1145.6,645.55,3783.2,876.08,-123.4,549.63,798.65,1040.91,151.6,781.33
WE,1184.95,5.22,0.0,0.0,913.75,1.81,12.85,19.87,0.0,0.0,16451.4,752.23,1169.0,763.51,2550.0,1077.59,-668.5,980.37,-642.05,1212.98,38.95,975.96
WE,1186.05,1.28,0.0,0.0,912.1,3.71,7.7,9.89,0.0,0.0,16403.2,736.96,48.6,1418.43,2762.8,1038.34,159.65,1507.39,432.95,2497.61,838.1,1948.1
